id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11156,An Oasis in the City,40855,Colleen,,Sydney,-33.86767,151.22497,Private room,,90,193,2020-03-13,1.01,1,364,0,
15253,Unique Designer Rooftop Apartment in City Location,59850,Morag,,Sydney,-33.87964,151.2168,Private room,,1,632,2025-09-01,3.83,1,295,51,PID-STRA-24061-7
44545,Sunny Darlinghurst Warehouse Apartment,112237,Atari,,Sydney,-33.87888,151.21439,Entire home/apt,,2,85,2025-08-31,0.47,1,0,10,PID-STRA-74219
58506,"Studio Yindi @ Mosman, Sydney",279955,John,,Mosman,-33.81748,151.23484,Entire home/apt,,2,448,2025-08-31,2.50,1,138,29,PID-STRA-2810
68999,A little bit of Sydney - Australia,333581,Bryan,,Hornsby,-33.72966,151.05226,Private room,,1,120,2025-06-08,0.69,1,265,12,PID-STRA-9081
71866,A Jewel Amongst Greenery,292913,Marzena,,Randwick,-33.91079861535685,151.2512006610632,Entire home/apt,,3,21,2024-07-15,0.25,3,137,0,PID-STRA-23689
71867,Quiet and bright apt with green aspect,292913,Marzena,,Randwick,-33.90535,151.2529,Entire home/apt,,12,2,2025-02-19,0.19,3,202,2,PID-STRA-63764
75702,Beachside haven with gorgeous sea & Headland views,402292,Helen,,Randwick,-33.96643,151.24885,Entire home/apt,,3,355,2025-08-27,2.02,1,28,16,PID-STRA-4737
79912,Bronte Tranquil City/Beach Living.,431242,Karen,,Waverley,-33.905946777661725,151.25583825602774,Entire home/apt,,3,18,2025-06-02,0.10,1,224,1,PID-STRA-78354
86853,Bondi Beach Break 2 Bedroom Apt,476047,Ann,,Waverley,-33.894576,151.266382,Entire home/apt,,2,181,2025-04-16,1.15,2,239,8,PID-STRA-6436
87709,Room + own Bathroom in Family Home!,480315,Marianne,,Ku-Ring-Gai,-33.70174,151.12481,Private room,,90,22,2021-05-07,0.13,1,190,0,
104393,Beach Side Opposite Bondi Beach,543277,Joseph,,Waverley,-33.8886,151.27887,Entire home/apt,,1,83,2023-01-05,0.48,3,213,0,PID-STRA-41785
105938,Secret Beach Hideaway with Tropical Gardens,549372,Susanne,,Pittwater,-33.64793,151.31775,Entire home/apt,,14,21,2024-01-04,0.19,2,229,0,PID-STRA-6470
118658,Luxury apartment by the beach,599232,James,,Waverley,-33.88918,151.28414,Entire home/apt,,90,5,2012-04-15,0.03,1,90,0,
122931,A comfy room in recently renovated spacious house,455910,Angela,,Leichhardt,-33.88179,151.16055,Private room,,1,16,2025-08-31,0.09,1,317,9,PID-STRA-74209
135691,Private room for your Bondi holiday,501973,Francine,,Waverley,-33.88823,151.26238,Private room,,3,41,2024-11-24,0.25,1,89,1,PID-STRA-15719
153444,Large Modern Art Deco Apt - Walk everywhere,733574,Tobias,,Sydney,-33.87249,151.22479,Entire home/apt,,2,284,2025-08-24,1.79,3,49,22,PID-STRA-6256
154958,Sydney Harbour Exclusive Water edge apartment!,745322,Brendan,,North Sydney,-33.84568,151.22382,Entire home/apt,,3,72,2025-09-01,0.42,1,22,22,PID-STRA-45134
